-14.2,4.6,10.3,-0.131,-0.892,0.239
-14,4.4,10.7,-0.128,-0.907,0.222
-13.9,4.4,11.4,-0.12,-0.918,0.225
-13.8,4.4,11.2,-0.123,-0.903,0.229
-13.7,4.4,11.5,-0.124,-0.919,0.226
-13.3,4.2,11.7,-0.116,-0.917,0.218
-12.9,4.2,12.3,-0.12,-0.921,0.22
-12.7,4,12.8,-0.118,-0.929,0.206
-12.5,4,12.8,-0.108,-0.936,0.202
-12.3,3.8,13.2,-0.111,-0.937,0.192
-12.2,3.9,13.4,-0.108,-0.949,0.197
-11.7,3.7,13.6,-0.108,-0.934,0.191
-11.4,3.5,14.6,-0.103,-0.955,0.178
-10.8,3.4,14.5,-0.098,-0.946,0.177
-10.5,3.3,14.7,-0.09,-0.947,0.172
-10.1,3.2,15.6,-0.093,-0.958,0.162
-9.7,3,16.1,-0.081,-0.955,0.153
-9.3,3,16,-0.074,-0.948,0.15
-8.7,2.8,16.1,-0.065,-0.934,0.135
-8.1,2.6,17.2,-0.064,-0.937,0.126
-7.7,2.5,17.2,-0.06,-0.935,0.126
-7,2.3,17.7,-0.048,-0.935,0.108
-6.4,2.1,17.6,-0.045,-0.918,0.094
-6.2,2,17.8,-0.039,-0.918,0.089
-6.1,2,18.2,-0.036,-0.919,0.088
-5.8,1.9,18,-0.035,-0.897,0.084
-5.9,2,18,-0.032,-0.918,0.089
-5.5,1.8,18.5,-0.036,-0.899,0.081
-5.1,1.6,18,-0.03,-0.887,0.071
-5.2,1.7,18.1,-0.027,-0.908,0.071
-5.2,1.9,18.4,-0.033,-0.908,0.074
-5,2.1,18.1,-0.036,-0.909,0.076
-4.9,2.4,18.4,-0.037,-0.913,0.092
-4.8,2.5,18.5,-0.045,-0.915,0.102
-4.7,2.9,17.9,-0.046,-0.912,0.114
-4.6,2.9,18.1,-0.05,-0.915,0.115
-4.6,2.9,17.9,-0.047,-0.915,0.108
-4.5,3.1,18.4,-0.059,-0.915,0.125
-4.5,3.2,18.1,-0.056,-0.919,0.128
-4.4,3.3,18.5,-0.06,-0.918,0.13
-4.3,3.5,18,-0.063,-0.918,0.139
-4.2,3.6,18,-0.063,-0.923,0.149
-4.2,3.7,18.2,-0.068,-0.921,0.143
-4.1,3.8,18.1,-0.068,-0.921,0.148
-4,4,18.3,-0.074,-0.921,0.147
-3.9,4,17.9,-0.073,-0.923,0.143
-3.9,4.2,18.3,-0.081,-0.931,0.162
-3.6,4.5,18,-0.084,-0.931,0.17
-3.7,4.5,17.9,-0.099,-0.947,0.173
-4.2,5,17.5,-0.113,-0.968,0.188
-4.4,5.3,17.7,-0.126,-0.957,0.195
-4.8,5.7,17.1,-0.137,-0.982,0.205
-5.4,6.3,17.1,-0.161,-0.993,0.223
-5.8,7.1,16.3,-0.186,-1.01,0.275
-6.3,7.5,16.3,-0.198,-1.011,0.294
-6.7,7.8,15.6,-0.208,-1.003,0.296
-6.8,8,15.3,-0.209,-1.008,0.302
-7.1,8.2,15.3,-0.221,-1.012,0.304
-7.2,8.5,14.6,-0.234,-1.003,0.323
